# strain(%), strain_el(%), stress(GPa)
0.27000000 0.26540659 0.20588077
0.27040000 0.26584775 0.20622282
0.27080000 0.26620172 0.20649726
0.27120000 0.26651730 0.20674194
0.27160000 0.26696417 0.20708842
0.27200000 0.26739982 0.20742619
0.27240000 0.26756562 0.20755474
0.27280000 0.26794570 0.20784943
0.27320000 0.26841120 0.20821035
0.27360000 0.26912097 0.20876066
0.27400000 0.26959235 0.20912614
0.27440000 0.27014442 0.20955418
0.27480000 0.27030468 0.20967844
0.27520000 0.27049216 0.20982380
0.27560000 0.27082699 0.21008340
0.27600000 0.27109830 0.21029376
0.27640000 0.27165249 0.21072345
0.27680000 0.27213104 0.21109448
0.27720000 0.27258214 0.21144423
0.27760000 0.27303047 0.21179184
0.27800000 0.27328768 0.21199127
0.27840000 0.27367696 0.21229309
0.27880000 0.27403060 0.21256728
0.27920000 0.27444441 0.21288812
0.27960000 0.27481395 0.21317464
0.28000000 0.27522692 0.21349483
0.28040000 0.27552798 0.21372825
0.28080000 0.27595384 0.21405843
0.28120000 0.27645287 0.21444535
0.28160000 0.27690465 0.21479564
0.28200000 0.27739382 0.21517491
0.28240000 0.27777783 0.21547265
0.28280000 0.27798501 0.21563327
0.28320000 0.27824316 0.21583343
0.28360000 0.27864634 0.21614603
0.28400000 0.27932483 0.21667208
0.28440000 0.27978690 0.21703035
0.28480000 0.28005907 0.21724137
0.28520000 0.28047707 0.21756546
0.28560000 0.28089456 0.21788916
0.28600000 0.28118903 0.21811747
0.28640000 0.28142925 0.21830373
0.28680000 0.28184405 0.21862533
0.28720000 0.28234569 0.21901427
0.28760000 0.28284395 0.21940059
0.28800000 0.28324327 0.21971020
0.28840000 0.28356206 0.21995737
0.28880000 0.28400988 0.22030458
0.28920000 0.28439147 0.22060044
0.28960000 0.28497727 0.22105463
0.29000000 0.28545363 0.22142397
0.29040000 0.28574006 0.22164605
0.29080000 0.28598337 0.22183470
0.29120000 0.28626978 0.22205676
0.29160000 0.28668733 0.22238050
0.29200000 0.28701237 0.22263252
0.29240000 0.28747858 0.22299399
0.29280000 0.28809894 0.22347498
0.29320000 0.28859335 0.22385831
0.29360000 0.28901972 0.22418889
0.29400000 0.28915848 0.22429648
0.29440000 0.28935749 0.22445078
0.29480000 0.28979425 0.22478941
0.29520000 0.29027543 0.22516249
0.29560000 0.29074303 0.22552504
0.29600000 0.29116238 0.22585017
0.29640000 0.29163759 0.22621862
0.29680000 0.29206843 0.22655267
0.29720000 0.29236207 0.22678034
0.29760000 0.29248524 0.22687584
0.29800000 0.29291404 0.22720830
0.29840000 0.29327725 0.22748991
0.29880000 0.29370209 0.22781930
0.29920000 0.29417079 0.22818271
0.29960000 0.29476789 0.22864566
0.30000000 0.29526349 0.22902992
0.30040000 0.29559548 0.22928732
0.30080000 0.29585675 0.22948989
0.30120000 0.29615749 0.22972307
0.30160000 0.29652097 0.23000488
0.30200000 0.29678567 0.23021012
0.30240000 0.29730792 0.23061504
0.30280000 0.29783861 0.23102650
0.30320000 0.29843142 0.23148613
0.30360000 0.29884966 0.23181040
0.30400000 0.29929957 0.23215923
0.30440000 0.29954233 0.23234746
0.30480000 0.29995329 0.23266609
0.30520000 0.30031411 0.23294584
0.30560000 0.30040920 0.23301957
0.30600000 0.30051964 0.23310520
0.30640000 0.30083360 0.23334863
0.30680000 0.30163818 0.23397245
0.30720000 0.30215355 0.23437203
0.30760000 0.30285826 0.23491842
0.30800000 0.30334070 0.23529247
