# strain(%), strain_el(%), stress(GPa)
0.23880000 0.23719897 0.18401037
0.23920000 0.23735648 0.18413249
0.23960000 0.23784724 0.18451299
0.24000000 0.23812772 0.18473046
0.24040000 0.23909944 0.18548387
0.24080000 0.23952507 0.18581388
0.24120000 0.24001366 0.18619270
0.24160000 0.24028380 0.18640215
0.24200000 0.24013122 0.18628385
0.24240000 0.24438584 0.18958261
0.24280000 0.24473391 0.18985248
0.24320000 0.24561275 0.19053388
0.24360000 0.24540030 0.19036916
0.24400000 0.24263137 0.18822230
0.24440000 0.24261968 0.18821324
0.24480000 0.24303910 0.18853843
0.24520000 0.24350044 0.18889613
0.24560000 0.24422557 0.18945835
0.24600000 0.24439706 0.18959131
0.24640000 0.24498391 0.19004631
0.24680000 0.24551629 0.19045909
0.24720000 0.24590926 0.19076377
0.24760000 0.24578387 0.19066656
0.24800000 0.24978118 0.19376581
0.24840000 0.25031298 0.19417814
0.24880000 0.25107459 0.19476865
0.24920000 0.24727701 0.19182424
0.24960000 0.24817140 0.19251769
0.25000000 0.24857604 0.19283143
0.25040000 0.24841098 0.19270345
0.25080000 0.24881075 0.19301341
0.25120000 0.24928523 0.19338128
0.25160000 0.24964339 0.19365898
0.25200000 0.25028541 0.19415676
0.25240000 0.25070405 0.19448135
0.25280000 0.25106683 0.19476263
0.25320000 0.25118377 0.19485330
0.25360000 0.25166374 0.19522543
0.25400000 0.25199597 0.19548303
0.25440000 0.25263488 0.19597839
0.25480000 0.25290824 0.19619034
0.25520000 0.25315654 0.19638286
0.25560000 0.25418927 0.19718357
0.25600000 0.25444316 0.19738042
0.25640000 0.25411075 0.19712269
0.25680000 0.25507184 0.19786786
0.25720000 0.25521524 0.19797904
0.25760000 0.25564145 0.19830950
0.25800000 0.25652820 0.19899702
0.25840000 0.25689653 0.19928261
0.25880000 0.25727485 0.19957593
0.25920000 0.25709254 0.19943458
0.25960000 0.25782353 0.20000134
0.26000000 0.25829950 0.20037038
0.26040000 0.25890509 0.20083992
0.26080000 0.25902976 0.20093658
0.26120000 0.25942838 0.20124564
0.26160000 0.25986695 0.20158568
0.26200000 0.26028058 0.20190638
0.26240000 0.26061373 0.20216469
0.26280000 0.26086781 0.20236169
0.26320000 0.26112236 0.20255905
0.26360000 0.26175865 0.20305239
0.26400000 0.26239226 0.20354365
0.26440000 0.26285730 0.20390421
0.26480000 0.26304177 0.20404723
0.26520000 0.26326000 0.20421644
0.26560000 0.26372450 0.20457658
0.26600000 0.26408540 0.20485640
0.26640000 0.26461508 0.20526708
0.26680000 0.26510734 0.20564875
0.26720000 0.26546366 0.20592502
0.26760000 0.26581260 0.20619556
0.26800000 0.26582751 0.20620712
0.26840000 0.26625958 0.20654213
0.26880000 0.27035477 0.20971727
0.26920000 0.27131479 0.21046161
0.26960000 0.27193225 0.21094035
0.27000000 0.27181590 0.21085014
0.27040000 0.27215761 0.21111508
0.27080000 0.27256577 0.21143154
0.27120000 0.26940448 0.20898048
0.27160000 0.26936744 0.20895176
0.27200000 0.26986746 0.20933944
0.27240000 0.27076543 0.21003567
0.27280000 0.27109452 0.21029083
0.27320000 0.27153225 0.21063021
0.27360000 0.27177948 0.21082190
0.27400000 0.27216456 0.21112047
0.27440000 0.27251112 0.21138917
0.27480000 0.27288623 0.21168001
0.27520000 0.27335705 0.21204505
0.27560000 0.27370730 0.21231661
0.27600000 0.27390739 0.21247175
0.27640000 0.27433603 0.21280409
0.27680000 0.27472138 0.21310286
0.27720000 0.27489280 0.21323578
0.27760000 0.27548245 0.21369295
0.27800000 0.27615661 0.21421565
0.27840000 0.27618774 0.21423979
0.27880000 0.27655217 0.21452235
0.27920000 0.27700332 0.21487214
0.27960000 0.27771507 0.21542398
0.28000000 0.27785108 0.21552944
0.28040000 0.27825888 0.21584562
0.28080000 0.27877565 0.21624629
0.28120000 0.27920555 0.21657960
0.28160000 0.27938785 0.21672095
0.28200000 0.27969953 0.21696261
0.28240000 0.28013034 0.21729663
0.28280000 0.28069970 0.21773807
0.28320000 0.28127195 0.21818176
0.28360000 0.28158155 0.21842181
0.28400000 0.28206197 0.21879429
0.28440000 0.28603413 0.22187405
0.28480000 0.28632129 0.22209670
0.28520000 0.28676088 0.22243753
0.28560000 0.28350632 0.21991415
0.28600000 0.28404818 0.22033428
0.28640000 0.28449260 0.22067885
0.28680000 0.28477278 0.22089608
0.28720000 0.28887550 0.22407707
0.28760000 0.28908994 0.22424334
0.28800000 0.28943461 0.22451057
0.28840000 0.28618795 0.22199331
0.28880000 0.28700755 0.22262878
0.28920000 0.28715301 0.22274156
0.28960000 0.28736980 0.22290965
0.29000000 0.29184281 0.22637774
0.29040000 0.29176561 0.22631788
0.29080000 0.28898024 0.22415828
0.29120000 0.28898504 0.22416200
0.29160000 0.28930595 0.22441082
0.29200000 0.29002353 0.22496718
0.29240000 0.29039050 0.22525171
0.29280000 0.29070859 0.22549834
0.29320000 0.29141346 0.22604484
0.29360000 0.29152901 0.22613444
0.29400000 0.29183775 0.22637381
0.29440000 0.29231117 0.22674088
0.29480000 0.29286548 0.22717065
0.29520000 0.29296187 0.22724538
0.29560000 0.29309430 0.22734806
0.29600000 0.29381346 0.22790565
0.29640000 0.29398724 0.22804039
0.29680000 0.29463990 0.22854643
0.29720000 0.29542114 0.22915214
0.29760000 0.29549103 0.22920633
0.29800000 0.29539333 0.22913059
0.29840000 0.29611576 0.22969071
0.29880000 0.29651106 0.22999720
0.29920000 0.29695383 0.23034050
0.29960000 0.29724965 0.23056985
