# strain(%), energy_raw(eV), energy(eV)
0.20280000 -22367.67426657 0.02556051
0.20320000 -22367.67396529 0.02561818
0.20360000 -22367.67365035 0.02568905
0.20400000 -22367.67333118 0.02576365
0.20440000 -22367.67304726 0.02580254
0.20480000 -22367.67272447 0.02587980
0.20520000 -22367.67241368 0.02594460
0.20560000 -22367.67212115 0.02599065
0.20600000 -22367.67180355 0.02606129
0.20640000 -22367.67149477 0.02612263
0.20680000 -22367.67116519 0.02620429
0.20720000 -22367.67086609 0.02625498
0.20760000 -22367.67055456 0.02631764
0.20800000 -22367.67023682 0.02638602
0.20840000 -22367.66993750 0.02643549
0.20880000 -22367.66962438 0.02649830
0.20920000 -22367.66930197 0.02656991
0.20960000 -22367.66898792 0.02663267
0.21000000 -22367.66866472 0.02670412
0.21040000 -22367.66834734 0.02676925
0.21080000 -22367.66801640 0.02684747
0.21120000 -22367.66767563 0.02693504
0.21160000 -22367.66738545 0.02697155
0.21200000 -22367.66704564 0.02705720
0.21240000 -22367.66674031 0.02710789
0.21280000 -22367.66640787 0.02718521
0.21320000 -22367.66612092 0.02721656
0.21360000 -22367.66578985 0.02729155
0.21400000 -22367.66548567 0.02733917
0.21440000 -22367.66515513 0.02741266
0.21480000 -22367.66480447 0.02750580
0.21520000 -22367.66446747 0.02758480
0.21560000 -22367.66415529 0.02763850
0.21600000 -22367.66381711 0.02771772
0.21640000 -22367.66351914 0.02775626
0.21680000 -22367.66319246 0.02782302
0.21720000 -22367.66283515 0.02791993
0.21760000 -22367.66251139 0.02798281
0.21800000 -22367.66220288 0.02802996
0.21840000 -22367.66185758 0.02811342
0.21880000 -22367.66154364 0.02816504
0.21920000 -22367.66119083 0.02825505
0.21960000 -22367.66087647 0.02830612
0.22000000 -22367.66054946 0.02836937
0.22040000 -22367.66021442 0.02844017
0.22080000 -22367.65985920 0.02853067
0.22120000 -22367.65954974 0.02857494
0.22160000 -22367.65918224 0.02867675
0.22200000 -22367.65886515 0.02872769
0.22240000 -22367.65853984 0.02878636
0.22280000 -22367.65818505 0.02887403
0.22320000 -22367.65788947 0.02890200
0.22360000 -22367.65753001 0.02899339
0.22400000 -22367.65720331 0.02905152
0.22440000 -22367.65684602 0.02913978
0.22480000 -22367.65647735 0.02923893
0.22520000 -22367.65617812 0.02926816
0.22560000 -22367.65581909 0.02935671
0.22600000 -22367.65548001 0.02942483
0.22640000 -22367.65513664 0.02949676
0.22680000 -22367.65481268 0.02954880
0.22720000 -22367.65445498 0.02963410
0.22760000 -22367.65410144 0.02971476
0.22800000 -22367.65378049 0.02976235
0.22840000 -22367.65344145 0.02982755
0.22880000 -22367.65311175 0.02988292
0.22920000 -22367.65272905 0.02999083
0.22960000 -22367.65237145 0.03007315
0.23000000 -22367.65202509 0.03014375
0.23040000 -22367.65170315 0.03018945
0.23080000 -22367.65133683 0.03027905
0.23120000 -22367.65099473 0.03034395
0.23160000 -22367.65063640 0.03042459
0.23200000 -22367.65029622 0.03048662
0.23240000 -22367.64995556 0.03054864
0.23280000 -22367.64960906 0.03061602
0.23320000 -22367.64924936 0.03069611
0.23360000 -22367.64887247 0.03079293
0.23400000 -22367.64852256 0.03086228
0.23440000 -22367.64818801 0.03091579
0.23480000 -22367.64782364 0.03099864
0.23520000 -22367.64748582 0.03105445
0.23560000 -22367.64712617 0.03113163
0.23600000 -22367.64674739 0.03122745
0.23640000 -22367.64642066 0.03127074
0.23680000 -22367.64605057 0.03135691
0.23720000 -22367.64569567 0.03142741
0.23760000 -22367.64533671 0.03150149
0.23800000 -22367.64497281 0.03158003
0.23840000 -22367.64460309 0.03166391
0.23880000 -22367.64425425 0.03172643
0.23920000 -22367.64388721 0.03180667
0.23960000 -22367.64354013 0.03186647
0.24000000 -22367.64317364 0.03194520
0.24040000 -22367.64280991 0.03202068
0.24080000 -22367.64243066 0.03211122
0.24120000 -22367.64206960 0.03218307
0.24160000 -22367.64173002 0.03223298
0.24200000 -22367.64134543 0.03232741
0.24240000 -22367.64097402 0.03240818
0.24280000 -22367.64060938 0.03248169
0.24320000 -22367.64025579 0.03254369
0.24360000 -22367.63987257 0.03263482
0.24400000 -22367.63950580 0.03270904
0.24440000 -22367.63913803 0.03278377
0.24480000 -22367.63877062 0.03285765
0.24520000 -22367.63842353 0.03291075
0.24560000 -22367.63803660 0.03300319
0.24600000 -22367.63766678 0.03307806
0.24640000 -22367.63729112 0.03315828
0.24680000 -22367.63691983 0.03323365
0.24720000 -22367.63653569 0.03332139
0.24760000 -22367.63614582 0.03341438
0.24800000 -22367.63577180 0.03349103
0.24840000 -22367.63540560 0.03355940
0.24880000 -22367.63504869 0.03361799
0.24920000 -22367.63465786 0.03371002
0.24960000 -22367.63428454 0.03378406
0.25000000 -22367.63391646 0.03385238
0.25040000 -22367.63353549 0.03393310
0.25080000 -22367.63315013 0.03401775
0.25120000 -22367.63277422 0.03409246
0.25160000 -22367.63238064 0.03418436
